Symbol ,ExpDate ,StrPrice ,OptType ,NetQty ,LTP 
 ESCORTS , 28 JUN 2018 ,880, CE ,1100,59.5
 JUBLFOOD , 28 JUN 2018 ,2700, CE ,500,61.3
 JUBLFOOD , 28 JUN 2018 ,2500, PE ,250,107.35
 JUBLFOOD , 28 JUN 2018 ,2600, CE ,1000,94.8
 KOTAKBANK , 28 JUN 2018 ,1280, CE ,800,46.5
 MARUTI , 28 JUN 2018 ,8600, CE ,750,205
 PCJEWELLER , 28 JUN 2018 ,100, PE ,3000,4.8
 PCJEWELLER , 28 JUN 2018 ,150, PE ,3000,17.75
 PCJEWELLER , 28 JUN 2018 ,200, CE ,3000,16.65
 PCJEWELLER , 28 JUN 2018 ,250, CE ,1500,7.45
 SAIL , 28 JUN 2018 ,75, PE ,12000,3.05
 SAIL , 28 JUN 2018 ,77.5, CE ,24000,3.6
 SAIL , 28 JUN 2018 ,80, CE ,12000,2.75
 TCS , 28 JUN 2018 ,1750, CE ,8500,47
 TCS , 28 JUN 2018 ,1650, PE ,4000,9.95
